N,a,z2
-20.0,2.061153622438558e-09,8.496708510583178e-20
-19.993,2.0756323140951528e-09,8.616499006631998e-20
-19.986,2.090212712150431e-09,8.737978364070522e-20
-19.979,2.10489553104683e-09,8.861170393241833e-20
-19.972,2.1196814902453973e-09,8.986099240177898e-20
-19.965,2.1345713142611083e-09,9.11278939133279e-20
-19.958,2.1495657326983106e-09,9.24126567838165e-20
-19.951,2.1646654802865005e-09,9.371553283087972e-20
-19.944,2.1798712969163466e-09,9.50367774223951e-20
-19.937,2.1951839276758903e-09,9.637664952653097e-20
-19.93,2.2106041228871184e-09,9.773541176251051e-20
-19.923,2.2261326381426737e-09,9.91133304520812e-20
-19.916,2.2417702343429027e-09,1.0051067567171667e-19
-19.909,2.2575176777331643e-09,1.0192772130555478e-19
-19.902,2.273375739941319e-09,1.0336474509907478e-19
-19.895,2.2893451980156043e-09,1.0482202871354213e-19
-19.888,2.305426834462645e-09,1.0629985778120902e-19
-19.881,2.3216214372858607e-09,1.0779852196130531e-19
-19.874,2.3379298000240217e-09,1.0931831499680725e-19
-19.867,2.3543527217901574e-09,1.1085953477201443e-19
-19.86,2.370891007310736e-09,1.1242248337093833e-19
-19.853,2.387545466965042e-09,1.1400746713650642e-19
-19.846,2.404316916824946e-09,1.1561479673061227e-19
-19.839,2.421206178694839e-09,1.172447871950013e-19
-19.832,2.4382140801519233e-09,1.1889775801302178e-19
-19.825,2.4553414545867905e-09,1.2057403317224752e-19
-19.818,2.4725891412441974e-09,1.2227394122797435e-19
-19.811,2.489957985264259e-09,1.2399781536762495e-19
-19.804,2.507448837723798e-09,1.2574599347604854e-19
-19.797,2.5250625556780766e-09,1.2751881820175e-19
-19.79,2.542800002202816e-09,1.293166370240528e-19
-19.783,2.560662046436427e-09,1.311398023211998e-19
-19.776,2.578649563622669e-09,1.3298867143942762e-19
-19.769,2.596763435153474e-09,1.3486360676300142e-19
-19.762,2.6150045486121625e-09,1.36764975785246e-19
-19.755,2.633373797816962e-09,1.386931511805786e-19
-19.748,2.65187208286474e-09,1.406485108775475e-19
-19.741,2.670500310175184e-09,1.426314381329151e-19
-19.734,2.689259392535141e-09,1.446423216067695e-19
-19.727,2.7081502491434186e-09,1.466815554387112e-19
-19.72,2.7271738056557604e-09,1.4874953932509845e-19
-19.713,2.7463309942302327e-09,1.5084667859739238e-19
-19.706,2.7656227535729283e-09,1.5297338430160612e-19
-19.699,2.785050028983895e-09,1.551300732788639e-19
-19.692,2.8046137724035345e-09,1.573171682471117e-19
-19.685,2.8243149424591792e-09,1.5953509788396393e-19
-19.678,2.844154504512094e-09,1.6178429691072873e-19
-19.671,2.8641334307048086e-09,1.6406520617761793e-19
-19.664,2.884252700008684e-09,1.663782727501477e-19
-19.657,2.9045132982719615e-09,1.6872394999677338e-19
-19.65,2.9249162182680004e-09,1.7110269767774364e-19
-19.643,2.945462459743952e-09,1.7351498203521784e-19
-19.636,2.9661530294697803e-09,1.7596127588465511e-19
-19.629,2.9869889412875208e-09,1.784420587074789e-19
-19.622,3.0079712161610427e-09,1.8095781674506687e-19
-19.615,3.0291008822260026e-09,1.8350904309404697e-19
-19.608,3.050378974840254e-09,1.860962378029496e-19
-19.601,3.0718065366346147e-09,1.8871990797022292e-19
-19.594,3.0933846175638776e-09,1.9138056784361635e-19
-19.587,3.1151142749583483e-09,1.9407873892098553e-19
