N,rho_ent,P_ent,w_ent,conservation_residual
-1.5000000000e+01,8.2015748478e-01,-3.2057930452e-01,-3.9087530196e-01,2.2823152920e-03
-1.4990000000e+01,8.0532462632e-01,-3.1600633262e-01,-3.9239621178e-01,-1.8987624137e-06
-1.4980000000e+01,7.9079606171e-01,-3.1150510533e-01,-3.9391332407e-01,-1.8940214659e-06
-1.4970000000e+01,7.7656490073e-01,-3.0707445589e-01,-3.9542664832e-01,-1.8892923455e-06
-1.4960000000e+01,7.6262442254e-01,-3.0271323572e-01,-3.9693619398e-01,-1.8845751344e-06
-1.4950000000e+01,7.4896807128e-01,-2.9842031415e-01,-3.9844197049e-01,-1.8798695647e-06
-1.4940000000e+01,7.3558945170e-01,-2.9419457830e-01,-3.9994398726e-01,-1.8751756188e-06
-1.4930000000e+01,7.2248232490e-01,-2.9003493275e-01,-4.0144225368e-01,-1.8704935707e-06
-1.4920000000e+01,7.0964060427e-01,-2.8594029941e-01,-4.0293677911e-01,-1.8658231136e-06
-1.4910000000e+01,6.9705835148e-01,-2.8190961725e-01,-4.0442757289e-01,-1.8611644013e-06
-1.4900000000e+01,6.8472977259e-01,-2.7794184211e-01,-4.0591464435e-01,-1.8565173476e-06
-1.4890000000e+01,6.7264921428e-01,-2.7403594646e-01,-4.0739800276e-01,-1.8518818181e-06
-1.4880000000e+01,6.6081116020e-01,-2.7019091918e-01,-4.0887765742e-01,-1.8472580434e-06
-1.4870000000e+01,6.4921022738e-01,-2.6640576536e-01,-4.1035361756e-01,-1.8426456729e-06
-1.4860000000e+01,6.3784116278e-01,-2.6267950607e-01,-4.1182589240e-01,-1.8380447064e-06
-1.4850000000e+01,6.2669883991e-01,-2.5901117815e-01,-4.1329449116e-01,-1.8334553193e-06
-1.4840000000e+01,6.1577825556e-01,-2.5539983397e-01,-4.1475942300e-01,-1.8288773178e-06
-1.4830000000e+01,6.0507452661e-01,-2.5184454126e-01,-4.1622069709e-01,-1.8243109017e-06
-1.4820000000e+01,5.9458288692e-01,-2.4834438283e-01,-4.1767832256e-01,-1.8197558227e-06
-1.4810000000e+01,5.8429868435e-01,-2.4489845643e-01,-4.1913230851e-01,-1.8152120640e-06
-1.4800000000e+01,5.7421737776e-01,-2.4150587448e-01,-4.2058266404e-01,-1.8106799182e-06
-1.4790000000e+01,5.6433453426e-01,-2.3816576388e-01,-4.2202939821e-01,-1.8061588527e-06
-1.4780000000e+01,5.5464582634e-01,-2.3487726582e-01,-4.2347252006e-01,-1.8016489169e-06
-1.4770000000e+01,5.4514702923e-01,-2.3163953553e-01,-4.2491203861e-01,-1.7971504325e-06
-1.4760000000e+01,5.3583401825e-01,-2.2845174211e-01,-4.2634796286e-01,-1.7926632101e-06
-1.4750000000e+01,5.2670276629e-01,-2.2531306832e-01,-4.2778030178e-01,-1.7881871477e-06
-1.4740000000e+01,5.1774934129e-01,-2.2222271033e-01,-4.2920906433e-01,-1.7837221677e-06
-1.4730000000e+01,5.0896990384e-01,-2.1917987761e-01,-4.3063425943e-01,-1.7792684956e-06
-1.4720000000e+01,5.0036070483e-01,-2.1618379265e-01,-4.3205589600e-01,-1.7748259236e-06
-1.4710000000e+01,4.9191808319e-01,-2.1323369079e-01,-4.3347398291e-01,-1.7703944952e-06
-1.4700000000e+01,4.8363846360e-01,-2.1032882002e-01,-4.3488852904e-01,-1.7659740463e-06
-1.4690000000e+01,4.7551835441e-01,-2.0746844082e-01,-4.3629954321e-01,-1.7615644954e-06
-1.4680000000e+01,4.6755434545e-01,-2.0465182590e-01,-4.3770703426e-01,-1.7571660853e-06
-1.4670000000e+01,4.5974310605e-01,-2.0187826008e-01,-4.3911101097e-01,-1.7527786531e-06
-1.4660000000e+01,4.5208138301e-01,-1.9914704007e-01,-4.4051148212e-01,-1.7484021770e-06
-1.4650000000e+01,4.4456599865e-01,-1.9645747426e-01,-4.4190845647e-01,-1.7440365718e-06
-1.4640000000e+01,4.3719384896e-01,-1.9380888260e-01,-4.4330194275e-01,-1.7396819829e-06
-1.4630000000e+01,4.2996190172e-01,-1.9120059635e-01,-4.4469194966e-01,-1.7353383761e-06
-1.4620000000e+01,4.2286719473e-01,-1.8863195796e-01,-4.4607848589e-01,-1.7310053428e-06
-1.4610000000e+01,4.1590683408e-01,-1.8610232084e-01,-4.4746156011e-01,-1.7266831225e-06
-1.4600000000e+01,4.0907799242e-01,-1.8361104923e-01,-4.4884118097e-01,-1.7223718547e-06
-1.4590000000e+01,4.0237790735e-01,-1.8115751799e-01,-4.5021735708e-01,-1.7180713028e-06
-1.4580000000e+01,3.9580387976e-01,-1.7874111247e-01,-4.5159009705e-01,-1.7137815447e-06
-1.4570000000e+01,3.8935327234e-01,-1.7636122831e-01,-4.5295940945e-01,-1.7095023634e-06
-1.4560000000e+01,3.8302350798e-01,-1.7401727126e-01,-4.5432530285e-01,-1.7052339163e-06
-1.4550000000e+01,3.7681206833e-01,-1.7170865707e-01,-4.5568778578e-01,-1.7009763555e-06
-1.4540000000e+01,3.7071649236e-01,-1.6943481129e-01,-4.5704686675e-01,-1.6967292507e-06
-1.4530000000e+01,3.6473437493e-01,-1.6719516910e-01,-4.5840255427e-01,-1.6924925732e-06
-1.4520000000e+01,3.5886336543e-01,-1.6498917519e-01,-4.5975485680e-01,-1.6882665650e-06
-1.4510000000e+01,3.5310116645e-01,-1.6281628356e-01,-4.6110378280e-01,-1.6840511952e-06
-1.4500000000e+01,3.4744553248e-01,-1.6067595742e-01,-4.6244934070e-01,-1.6798463600e-06
-1.4490000000e+01,3.4189426864e-01,-1.5856766899e-01,-4.6379153890e-01,-1.6756519532e-06
-1.4480000000e+01,3.3644522945e-01,-1.5649089937e-01,-4.6513038579e-01,-1.6714680129e-06
-1.4470000000e+01,3.3109631766e-01,-1.5444513841e-01,-4.6646588975e-01,-1.6672946233e-06
-1.4460000000e+01,3.2584548301e-01,-1.5242988453e-01,-4.6779805912e-01,-1.6631317490e-06
-1.4450000000e+01,3.2069072117e-01,-1.5044464460e-01,-4.6912690223e-01,-1.6589790941e-06
-1.4440000000e+01,3.1563007259e-01,-1.4848893380e-01,-4.7045242738e-01,-1.6548366644e-06
-1.4430000000e+01,3.1066162141e-01,-1.4656227549e-01,-4.7177464285e-01,-1.6507047280e-06
-1.4420000000e+01,3.0578349444e-01,-1.4466420103e-01,-4.7309355692e-01,-1.6465831918e-06
-1.4410000000e+01,3.0099386012e-01,-1.4279424970e-01,-4.7440917781e-01,-1.6424718561e-06
-1.4400000000e+01,2.9629092751e-01,-1.4095196855e-01,-4.7572151376e-01,-1.6383707682e-06
-1.4390000000e+01,2.9167294533e-01,-1.3913691223e-01,-4.7703057297e-01,-1.6342799791e-06
-1.4380000000e+01,2.8713820102e-01,-1.3734864294e-01,-4.7833636362e-01,-1.6301995620e-06
-1.4370000000e+01,2.8268501979e-01,-1.3558673021e-01,-4.7963889387e-01,-1.6261291353e-06
-1.4360000000e+01,2.7831176374e-01,-1.3385075086e-01,-4.8093817186e-01,-1.6220686758e-06
-1.4350000000e+01,2.7401683097e-01,-1.3214028884e-01,-4.8223420572e-01,-1.6180185811e-06
-1.4340000000e+01,2.6979865474e-01,-1.3045493508e-01,-4.8352700353e-01,-1.6139786250e-06
-1.4330000000e+01,2.6565570262e-01,-1.2879428745e-01,-4.8481657339e-01,-1.6099487365e-06
-1.4320000000e+01,2.6158647569e-01,-1.2715795054e-01,-4.8610292335e-01,-1.6059288932e-06
-1.4310000000e+01,2.5758950775e-01,-1.2554553565e-01,-4.8738606145e-01,-1.6019190299e-06
-1.4300000000e+01,2.5366336453e-01,-1.2395666060e-01,-4.8866599571e-01,-1.5979193420e-06
-1.4290000000e+01,2.4980664295e-01,-1.2239094965e-01,-4.8994273413e-01,-1.5939296309e-06
-1.4280000000e+01,2.4601797039e-01,-1.2084803339e-01,-4.9121628470e-01,-1.5899496473e-06
-1.4270000000e+01,2.4229600399e-01,-1.1932754861e-01,-4.9248665536e-01,-1.5859796876e-06
-1.4260000000e+01,2.3863942990e-01,-1.1782913824e-01,-4.9375385406e-01,-1.5820196806e-06
-1.4250000000e+01,2.3504696266e-01,-1.1635245121e-01,-4.9501788873e-01,-1.5780695528e-06
-1.4240000000e+01,2.3151734451e-01,-1.1489714233e-01,-4.9627876725e-01,-1.5741293258e-06
-1.4230000000e+01,2.2804934474e-01,-1.1346287224e-01,-4.9753649751e-01,-1.5701989506e-06
-1.4220000000e+01,2.2464175908e-01,-1.1204930728e-01,-4.9879108738e-01,-1.5662783683e-06
-1.4210000000e+01,2.2129340905e-01,-1.1065611939e-01,-5.0004254469e-01,-1.5623677017e-06
-1.4200000000e+01,2.1800314142e-01,-1.0928298601e-01,-5.0129087726e-01,-1.5584666022e-06
-1.4190000000e+01,2.1476982757e-01,-1.0792959002e-01,-5.0253609290e-01,-1.5545751944e-06
-1.4180000000e+01,2.1159236294e-01,-1.0659561961e-01,-5.0377819939e-01,-1.5506936513e-06
-1.4170000000e+01,2.0846966649e-01,-1.0528076819e-01,-5.0501720449e-01,-1.5468217096e-06
-1.4160000000e+01,2.0540068012e-01,-1.0398473433e-01,-5.0625311594e-01,-1.5429594888e-06
-1.4150000000e+01,2.0238436821e-01,-1.0270722164e-01,-5.0748594148e-01,-1.5391069219e-06
-1.4140000000e+01,1.9941971703e-01,-1.0144793871e-01,-5.0871568880e-01,-1.5352639460e-06
-1.4130000000e+01,1.9650573426e-01,-1.0020659898e-01,-5.0994236559e-01,-1.5314306905e-06
-1.4120000000e+01,1.9364144856e-01,-9.8982920728e-02,-5.1116597952e-01,-1.5276069123e-06
-1.4110000000e+01,1.9082590898e-01,-9.7776626911e-02,-5.1238653824e-01,-1.5237925348e-06
-1.4100000000e+01,1.8805818461e-01,-9.6587445132e-02,-5.1360404937e-01,-1.5199878425e-06
-1.4090000000e+01,1.8533736402e-01,-9.5415107545e-02,-5.1481852053e-01,-1.5161926419e-06
-1.4080000000e+01,1.8266255492e-01,-9.4259350778e-02,-5.1602995930e-01,-1.5124068489e-06
-1.4070000000e+01,1.8003288362e-01,-9.3119915856e-02,-5.1723837325e-01,-1.5086305003e-06
-1.4060000000e+01,1.7744749470e-01,-9.1996548121e-02,-5.1844376994e-01,-1.5048637168e-06
-1.4050000000e+01,1.7490555055e-01,-9.0888997165e-02,-5.1964615691e-01,-1.5011063983e-06
-1.4040000000e+01,1.7240623096e-01,-8.9797016752e-02,-5.2084554166e-01,-1.4973582365e-06
-1.4030000000e+01,1.6994873277e-01,-8.8720364746e-02,-5.2204193170e-01,-1.4936193833e-06
-1.4020000000e+01,1.6753226944e-01,-8.7658803039e-02,-5.2323533449e-01,-1.4898900196e-06
-1.4010000000e+01,1.6515607071e-01,-8.6612097488e-02,-5.2442575751e-01,-1.4861700031e-06
-1.4000000000e+01,1.6281938221e-01,-8.5580017837e-02,-5.2561320818e-01,-1.4824592316e-06
-1.3990000000e+01,1.6052146513e-01,-8.4562337657e-02,-5.2679769394e-01,-1.4787576594e-06
-1.3980000000e+01,1.5826159585e-01,-8.3558834279e-02,-5.2797922218e-01,-1.4750653836e-06
-1.3970000000e+01,1.5603906563e-01,-8.2569288725e-02,-5.2915780029e-01,-1.4713823462e-06
-1.3960000000e+01,1.5385318022e-01,-8.1593485648e-02,-5.3033343563e-01,-1.4677085534e-06
-1.3950000000e+01,1.5170325961e-01,-8.0631213268e-02,-5.3150613555e-01,-1.4640438895e-06
-1.3940000000e+01,1.4958863768e-01,-7.9682263311e-02,-5.3267590739e-01,-1.4603882672e-06
-1.3930000000e+01,1.4750866187e-01,-7.8746430948e-02,-5.3384275845e-01,-1.4567418420e-06
-1.3920000000e+01,1.4546269292e-01,-7.7823514734e-02,-5.3500669603e-01,-1.4531045398e-06
-1.3910000000e+01,1.4345010456e-01,-7.6913316554e-02,-5.3616772739e-01,-1.4494763256e-06
-1.3900000000e+01,1.4147028321e-01,-7.6015641560e-02,-5.3732585980e-01,-1.4458571176e-06
-1.3890000000e+01,1.3952262772e-01,-7.5130298118e-02,-5.3848110050e-01,-1.4422471466e-06
-1.3880000000e+01,1.3760654909e-01,-7.4257097753e-02,-5.3963345671e-01,-1.4386460265e-06
-1.3870000000e+01,1.3572147022e-01,-7.3395855092e-02,-5.4078293562e-01,-1.4350537840e-06
-1.3860000000e+01,1.3386682560e-01,-7.2546387811e-02,-5.4192954442e-01,-1.4314706687e-06
-1.3850000000e+01,1.3204206111e-01,-7.1708516585e-02,-5.4307329028e-01,-1.4278964038e-06
-1.3840000000e+01,1.3024663376e-01,-7.0882065033e-02,-5.4421418035e-01,-1.4243311008e-06
-1.3830000000e+01,1.2848001141e-01,-7.0066859671e-02,-5.4535222175e-01,-1.4207747154e-06
-1.3820000000e+01,1.2674167258e-01,-6.9262729856e-02,-5.4648742161e-01,-1.4172272047e-06
-1.3810000000e+01,1.2503110620e-01,-6.8469507745e-02,-5.4761978701e-01,-1.4136886026e-06
-1.3800000000e+01,1.2334781138e-01,-6.7687028239e-02,-5.4874932503e-01,-1.4101590002e-06
-1.3790000000e+01,1.2169129721e-01,-6.6915128943e-02,-5.4987604273e-01,-1.4066379439e-06
-1.3780000000e+01,1.2006108250e-01,-6.6153650112e-02,-5.5099994716e-01,-1.4031255875e-06
-1.3770000000e+01,1.1845669562e-01,-6.5402434613e-02,-5.5212104533e-01,-1.3996221861e-06
-1.3760000000e+01,1.1687767427e-01,-6.4661327874e-02,-5.5323934427e-01,-1.3961274450e-06
-1.3750000000e+01,1.1532356528e-01,-6.3930177842e-02,-5.5435485094e-01,-1.3926415188e-06
-1.3740000000e+01,1.1379392442e-01,-6.3208834942e-02,-5.5546757233e-01,-1.3891642785e-06
-1.3730000000e+01,1.1228831619e-01,-6.2497152032e-02,-5.5657751539e-01,-1.3856957040e-06
-1.3720000000e+01,1.1080631367e-01,-6.1794984361e-02,-5.5768468706e-01,-1.3822358209e-06
-1.3710000000e+01,1.0934749829e-01,-6.1102189529e-02,-5.5878909426e-01,-1.3787846249e-06
-1.3700000000e+01,1.0791145970e-01,-6.0418627447e-02,-5.5989074389e-01,-1.3753419501e-06
-1.3690000000e+01,1.0649779556e-01,-5.9744160295e-02,-5.6098964283e-01,-1.3719077694e-06
-1.3680000000e+01,1.0510611138e-01,-5.9078652487e-02,-5.6208579796e-01,-1.3684822873e-06
-1.3670000000e+01,1.0373602036e-01,-5.8421970629e-02,-5.6317921613e-01,-1.3650653747e-06
-1.3660000000e+01,1.0238714321e-01,-5.7773983485e-02,-5.6426990416e-01,-1.3616570107e-06
-1.3650000000e+01,1.0105910801e-01,-5.7134561936e-02,-5.6535786887e-01,-1.3582570983e-06
-1.3640000000e+01,9.9751550058e-02,-5.6503578948e-02,-5.6644311708e-01,-1.3548658151e-06
-1.3630000000e+01,9.8464111687e-02,-5.5880909533e-02,-5.6752565555e-01,-1.3514828983e-06
-1.3620000000e+01,9.7196442148e-02,-5.5266430716e-02,-5.6860549105e-01,-1.3481082120e-06
-1.3610000000e+01,9.5948197450e-02,-5.4660021500e-02,-5.6968263034e-01,-1.3447421672e-06
-1.3600000000e+01,9.4719040223e-02,-5.4061562832e-02,-5.7075708014e-01,-1.3413846029e-06
-1.3590000000e+01,9.3508639577e-02,-5.3470937570e-02,-5.7182884717e-01,-1.3380352681e-06
-1.3580000000e+01,9.2316670965e-02,-5.2888030452e-02,-5.7289793814e-01,-1.3346943237e-06
-1.3570000000e+01,9.1142816057e-02,-5.2312728060e-02,-5.7396435971e-01,-1.3313618263e-06
-1.3560000000e+01,8.9986762604e-02,-5.1744918795e-02,-5.7502811856e-01,-1.3280375630e-06
-1.3550000000e+01,8.8848204312e-02,-5.1184492838e-02,-5.7608922133e-01,-1.3247216439e-06
-1.3540000000e+01,8.7726840722e-02,-5.0631342128e-02,-5.7714767466e-01,-1.3214140280e-06
-1.3530000000e+01,8.6622377087e-02,-5.0085360324e-02,-5.7820348516e-01,-1.3181145546e-06
-1.3520000000e+01,8.5534524252e-02,-4.9546442784e-02,-5.7925665943e-01,-1.3148233398e-06
-1.3510000000e+01,8.4462998542e-02,-4.9014486530e-02,-5.8030720405e-01,-1.3115403847e-06
-1.3500000000e+01,8.3407521644e-02,-4.8489390221e-02,-5.8135512559e-01,-1.3082656343e-06
-1.3490000000e+01,8.2367820502e-02,-4.7971054128e-02,-5.8240043060e-01,-1.3049990566e-06
-1.3480000000e+01,8.1343627205e-02,-4.7459380105e-02,-5.8344312562e-01,-1.3017406533e-06
-1.3470000000e+01,8.0334678882e-02,-4.6954271561e-02,-5.8448321715e-01,-1.2984903819e-06
-1.3460000000e+01,7.9340717601e-02,-4.6455633436e-02,-5.8552071169e-01,-1.2952483022e-06
-1.3450000000e+01,7.8361490263e-02,-4.5963372172e-02,-5.8655561575e-01,-1.2920141865e-06
-1.3440000000e+01,7.7396748508e-02,-4.5477395691e-02,-5.8758793577e-01,-1.2887880836e-06
-1.3430000000e+01,7.6446248618e-02,-4.4997613370e-02,-5.8861767821e-01,-1.2855701983e-06
-1.3420000000e+01,7.5509751417e-02,-4.4523936012e-02,-5.8964484952e-01,-1.2823602789e-06
-1.3410000000e+01,7.4587022186e-02,-4.4056275827e-02,-5.9066945610e-01,-1.2791582917e-06
-1.3400000000e+01,7.3677830568e-02,-4.3594546408e-02,-5.9169150437e-01,-1.2759644101e-06
-1.3390000000e+01,7.2781950480e-02,-4.3138662702e-02,-5.9271100071e-01,-1.2727786229e-06
-1.3380000000e+01,7.1899160026e-02,-4.2688540996e-02,-5.9372795149e-01,-1.2696006770e-06
-1.3370000000e+01,7.1029241416e-02,-4.2244098887e-02,-5.9474236307e-01,-1.2664305269e-06
